scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
107578,Mirae Asset Large Cap Fund - Growth Plan,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
107705,Mirae Asset Low Duration Fund - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
107763,LIC MF Infrastructure Fund-Regular Plan-Growth,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
107988,HSBC Global Emerging Markets Fund - Growth,HSBC Asset Management (India) Private Ltd.,Open Ended,Other Scheme - FoF Overseas,Other,FoF Overseas
108202,DSP Natural Resources And New Energy Fund - Regular - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
108249,Nippon India Quant Fund -Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
108378,Invesco India Financial Services Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
108466,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund)  - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
108467,ICICI Prudential Bluechip Fund - Institutional Option - I - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
108511,Kotak Dynamic Bond Fund Regular Plan Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
108545,Bandhan Income Plus Arbitrage Active FOF - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
108592,Bandhan Focused Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Focused Fund,Equity,Focused Fund
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
108596,Bandhan Large & Mid Cap Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
108632,BANDHAN Low Duration Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
108690,BANDHAN LIQUID Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
108717,Bandhan Short Duration Fund - Plan C  - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
108719,Bandhan Short Duration Fund - Plan D - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
108728,Bandhan Medium Duration Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
108753,Bandhan Gilt Fund with 10 year constant duration Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund with 10 year constant duration,Debt,Gilt Fund with 10 year constant duration
108756,BANDHAN Money Market Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
108765,Bandhan Medium to Long Duration Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
108768,Bandhan Short Duration Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
108845,BANDHAN Arbitrage Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
108846,BANDHAN Arbitrage Fund - Plan B - Growth,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
108994,BANDHAN Equity Savings Fund -B-GROWTH,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Equity Savings,Hybrid,Equity Savings
108995,BANDHAN Equity Savings Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Equity Savings,Hybrid,Equity Savings
109059,Sundaram Financial Services Opportunities Fund Regular Plan - Growth,Sundaram Asset Management Company Ltd,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
109061,Sundaram Financial Services Opportunities Fund Institutional Plan - Growth,Sundaram Asset Management Company Ltd,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
109254,BANK OF INDIA Liquid Fund- Regular Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
109269,BANK OF INDIA Ultra Short Duration Fund- Regular Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Debt,Ultra Short Duration Fund
109275,quant Focused Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Focused Fund,Equity,Focused Fund
109445,ICICI Prudential Banking and Financial Services Fund -  Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
109522,JM Flexicap Fund (Regular) - Growth option,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
109717,Nippon India Gilt  Fund - Institutional Plan-Growth Plan -Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
109720,Nippon India Gilt  Fund -Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
109740,ICICI Prudential Bond Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
109742,ICICI Prudential Bond Fund- Institutional Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
109830,quant Flexi Cap Fund - Growth Option - Regular Plan,quant Money Managers Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
110599,BANK OF INDIA Large & Mid Cap Fund Eco Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
110603,BANK OF INDIA Large & Mid Cap Fund Regular Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
111349,Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
111524,BANDHAN Dynamic Bond Fund - Regular Plan B - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
111525,Bandhan Gilt Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
141070,Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,Quantum Asset Management Company Private Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
111585,BANK OF INDIA Short Term Income Fund-Regular Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
111599,UTI Multi Asset Allocation Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
111638,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
111646,Mirae Asset Liquid Fund - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
111709,BANK OF INDIA ELSS Tax Saver -ECO Plan-Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
111710,BANK OF INDIA ELSS Tax Saver -Regular Plan- Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
111712,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Growth,Bank of India Investment Managers Private Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
111715,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth,Bank of India Investment Managers Private Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Debt,Medium to Long Duration Fund
111748,Nippon India Low Duration Fund - Retail Plan - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
111753,Nippon India Low Duration Fund- Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
111787,Taurus Ethical Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
111803,Aditya Birla Sun Life Medium Term Plan - Growth - Regular Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
111804,Aditya Birla Sun Life Medium Term Plan - Institutional - Growth Plan,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
111935,Edelweiss Large Cap Fund -Plan B - Growth option,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
111937,Edelweiss Large Cap Fund -Plan C - Growth option,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
111940,Edelweiss Large Cap Fund - Regular Plan - Growth Option,Edelweiss Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
111957,ICICI Prudential Focused Equity Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Focused Fund,Equity,Focused Fund
111960,ICICI Prudential Target Returns Fund - Retail Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Focused Fund,Equity,Focused Fund
111962,CANARA ROBECO DYNAMIC BOND FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
111972,ICICI Prudential Corporate Bond Fund Retail Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
111987,ICICI Prudential Corporate Bond Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
112012,Edelweiss Aggressive Hybrid Fund- Plan B-Growth Option,Edelweiss Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
112108,Edelweiss Aggressive Hybrid Fund - Regular Plan - Growth Option,Edelweiss Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
141063,Quantum Diversified Equity All Cap Active FOF - Regular Plan Growth Option,Quantum Asset Management Company Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
112088,Aditya BIRLA SUN LIFE ARBITRAGE FUND - REGULAR PLAN - GROWTH,Aditya Birla Sun Life AMC Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
112090,Kotak Flexicap Fund - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
112092,Franklin Build India Fund Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
112098,Invesco India Largecap Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
112120,Invesco India Money Market Fund - Regular - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
112123,Invesco India Money Market Fund - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Money Market Fund,Debt,Money Market Fund
112126,DSP Global Clean Energy Overseas Equity Omni FoF - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - FoF Overseas,Other,FoF Overseas
112152,CANARA ROBECO CONSUMER TRENDS FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
112171,Invesco India PSU Equity Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
112210,Axis Liquid Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
112713,Axis Liquid Fund - Retail Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
112214,Axis Treasury Advantage Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Low Duration Fund,Debt,Low Duration Fund
112277,Axis Large Cap Fund - Regular Plan - Growth,Axis Asset Management Co. Ltd.,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
112293,DSP World Mining Overseas Equity Omni FoF - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Other Scheme - FoF Overseas,Other,FoF Overseas
112304,Franklin India Income Opportunities Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
147962,Franklin India Income Opportunities Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
147968,Franklin India Income Opportunities Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,Debt,Medium Duration Fund
112323,Axis ELSS Tax Saver Fund - Regular Plan - Growth,Axis Asset Management Co. Ltd.,Open Ended,Equity Scheme - ELSS,Equity,ELSS
112327,Bandhan Conservative Hybrid Passive FOF - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
112329,Bandhan Multi-Asset Passive FOF - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
112332,Bandhan Aggressive Hybrid Passive FOF - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Banking and PSU Fund,Debt,Banking and PSU Fund
112353,BANDHAN Conservative Hybrid Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
112354,Axis Short Duration Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
112721,Axis Short Duration Fund - Retail Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
112359,BANK OF INDIA Manufacturing & Infrastructure Fund-Growth,Bank of India Investment Managers Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
112636,Navi Liquid Fund-Regular Plan-Growth Option,Navi AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
112868,Sundaram Conservative Hybrid Fund (Formerly Known as Sundaram Debt Oriented Hybrid Fund) Regular Plan - Growth,Sundaram Asset Management Company Ltd,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
112877,BANDHAN Nifty 50 Index Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
112901,DSP Focused Fund - Regular Plan - Growth,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Focused Fund,Equity,Focused Fund
113099,SBI PSU Fund - REGULAR PLAN -Growth,SBI Funds Management Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
112924,Axis Conservative Hybrid Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
112932,Mirae Asset Large & Midcap Fund - Regular Plan - Growth,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Large & Mid Cap Fund,Equity,Large & Mid Cap Fund
112936,Nippon India Aggressive Hybrid Fund - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
148271,Nippon India Aggressive Hybrid Fund - Segregated Portfolio 2 - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
147685,Nippon India Aggressive Hybrid Fund - Segregated Portfolio 1 - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Fund
112938,Nippon India Credit Risk Fund  - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
112939,Nippon India Credit Risk Fund  - Institutional Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
148100,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Institutional Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
148258,Nippon India Credit Risk Fund - Segregated Portfolio 2 - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
148259,Nippon India Credit Risk Fund - Segregated Portfolio 2 - Institutional Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
148094,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Growth Plan,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
112948,Taurus Nifty 50 Index Fund - Regular Plan - Growth,Taurus Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
112957,ICICI Prudential Nifty Next 50 Index Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
113036,Baroda BNP Paribas Short Duration Fund - Regular Plan - Growth Option,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
113047,HDFC Short Term  Debt Fund - Growth Option,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
113049,HDFC Gold ETF - Growth Option,HDFC Asset Management Company Limited,Open Ended,Other Scheme - Gold ETF,Other,Gold ETF
113064,Axis Multi Asset Allocation Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
113070,HDFC Corporate Bond Fund - Growth Option,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Corporate Bond Fund,Debt,Corporate Bond Fund
113077,UTI Dynamic Bond Fund - Regular Plan - Growth Option,UTI Asset Mgmt. Co. Ltd.,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
113192,Peerless short term plan growth,Navi AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
113177,Nippon India Small Cap Fund - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
113221,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
113269,Nippon India Index Fund - BSE Sensex Plan - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
113296,Nippon India Index Fund - Nifty 50 Plan - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
113345,Nippon India Arbitrage Fund - Growth Plan - Growth Option,Nippon Life India Asset Management Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
114239,ICICI Prudential Credit Risk Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
114359,Invesco India Ultra Short Duration Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Debt,Ultra Short Duration Fund
114458,Kotak Large Cap Fund - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
114476,BANDHAN Infrastructure Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
114564,Axis Midcap Fund - Regular Plan - Growth,Axis Asset Management Co. Ltd.,Open Ended,Equity Scheme - Mid Cap Fund,Equity,Mid Cap Fund
114616,Nippon India Gold Savings Fund-Growth plan- Growth Option,Nippon Life India Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
114758,Kotak Gold Fund Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
114859,Kotak Debt Hybrid - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,Hybrid,Conservative Hybrid Fund
114931,Mirae Asset Great Consumer Fund - Regular Plan - Growth option,Mirae Asset Investment Managers (India) Pvt. Ltd,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
115068,Axis Dynamic Bond Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
115077,CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Short Duration Fund,Debt,Short Duration Fund
115092,ICICI Prudential Ultra Short Term Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,Debt,Ultra Short Duration Fund
115116,HSBC Brazil Fund-Growth,HSBC Asset Management (India) Private Ltd.,Open Ended,Other Scheme - FoF Overseas,Other,FoF Overseas
141064,Quantum Gold Savings Fund - Regular Plan Growth Option,Quantum Asset Management Company Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
115270,Union Flexi Cap Fund - Growth Option,Union Asset Management Company Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
115398,Union Liquid Fund - Growth Option,Union Asset Management Company Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
115676,SBI GOLD FUND REGULAR PLAN - GROWTH,SBI Funds Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
115833,ICICI Prudential Gold ETF FOF - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
115897,Axis Gold Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
115934,HDFC Gold ETF Fund of Fund - Growth Option,HDFC Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
115991,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Regular Plan - Growth Option,Groww Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
116051,Union ELSS Tax Saver Fund - Growth Option,Union Asset Management Company Private Limited,Open Ended,Equity Scheme - ELSS,Equity,ELSS
116077,Invesco India Gold ETF Fund of Fund - Regular Plan - Growth,Invesco Asset Management (India) Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
116153,Franklin India Credit Risk Fund - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
147961,Franklin India Credit Risk Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
148303,Franklin India Credit Risk Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
147954,Franklin India Credit Risk Fund- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Plan,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Debt Scheme - Credit Risk Fund,Debt,Credit Risk Fund
116471,Axis Gilt Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Debt Scheme - Gilt Fund,Debt,Gilt Fund
116485,PGIM India Dynamic Bond Fund - Growth Option,PGIM India Asset Management Private Limite,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
116547,Groww Largecap Fund (formerly known as Indiabulls Blue Chip Fund) - Regular Plan- Growth Option,Groww Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,Equity,Large Cap Fund
116555,Union Dynamic Bond Fund - Growth Option,Union Asset Management Company Private Limited,Open Ended,Debt Scheme - Dynamic Bond,Debt,Dynamic Bond
116633,Franklin U.S. Opportunities Equity Active Fund of Funds - Growth,Franklin Templeton Asset Management (India) Private Limited,Open Ended,Other Scheme - FoF Overseas,Other,FoF Overseas
116796,Aditya Birla Sun Life Gold Fund-Growth,Aditya Birla Sun Life AMC Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
