scheme_code,scheme_name,amc,scheme_type,scheme_category_full,category,sub_category
153851,Groww Multi Asset Allocation Fund Regular Growth,Groww Asset Management Limited,Open Ended,Hybrid Scheme - Multi Asset Allocation,Hybrid,Multi Asset Allocation
153822,Union Diversified Equity All Cap Active FOF - Regular Plan - Growth Option,Union Asset Management Company Private Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153828,ANGEL ONE GOLD ETF FOF - REGULAR GROWTH,Angel One Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153830,Axis Nifty500 Quality 50 Index Fund - Regular Plan - Growth Option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153831,SBI Dynamic Asset Allocation Active FoF - Regular Plan - Growth,SBI Funds Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153839,Bandhan BSE India Sector Leaders Index Fund - Regular Plan - Growth,Bandhan AMC Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153841,Edelweiss Nifty LargeMidcap 250 ETF - Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
153844,Baroda BNP Paribas Business Conglomerates Fund Regular Growth Option,Baroda BNP Paribas Asset Management India Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153855,Tata Nifty Next 50 Index Fund - Regular Plan Growth Option,Tata Asset Management Limited,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153861,HDFC Diversified Equity All Cap Active FOF - Regular Plan - Growth Plan,HDFC Asset Management Company Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153865,ICICI Prudential Conglomerate Fund - Growth,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153870,THE WEALTH COMPANY FLEXI CAP FUND - REGULAR GROWTH,Wealth Company Asset Management Holdings Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,Equity,Flexi Cap Fund
153877,Kotak CRISIL-IBX Financial Services 9 to 12 Months Debt Index Fund - Regular - Growth,Kotak Mahindra Asset Management Company Limited.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153880,Axis CRISIL-IBX Financial Services 3-6 Months Debt Index Fund - Regular Plan - Growth option,Axis Asset Management Co. Ltd.,Open Ended,Other Scheme - Index Funds,Other,Index Funds
153888,THE WEALTH COMPANY LIQUID FUND REGULAR GROWTH,Wealth Company Asset Management Holdings Private Limited,Open Ended,Debt Scheme - Liquid Fund,Debt,Liquid Fund
153892,THE WEALTH COMPANY ARBITRAGE FUND REGULAR GROWTH,Wealth Company Asset Management Holdings Private Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,Hybrid,Arbitrage Fund
153897,THE WEALTH COMPANY ETHICAL FUND REGULAR GROWTH,Wealth Company Asset Management Holdings Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153902,Invesco India Consumption Fund - Regular Plan - Growth Plan,Invesco Asset Management (India) Private Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153918,Groww Nifty Capital Markets ETF FOF Regular Growth,Groww Asset Management Limited,Open Ended,Other Scheme - FoF Domestic,Other,FoF Domestic
153909,Helios Small Cap Fund - Regular Plan - Growth Option,Helios Capital Asset Management (India) Pvt. Ltd.,Open Ended,Equity Scheme - Small Cap Fund,Equity,Small Cap Fund
153916,Motilal Oswal Consumption Fund-Regular-Growth,Motilal Oswal Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Equity,Sectoral/ Thematic
153920,Edelweiss Nifty 1D Rate Liquid ETF - Growth,Edelweiss Asset Management Limited,Open Ended,Other Scheme - Other  ETFs,Other,Other  ETFs
